datetime_round,lat,lon,sog_knots,cog_deg,stw_knots,awa_deg,aws_knots,heading_deg,twa_raw,twa,tack
2025-07-26 13:15:00,53.3063071,-6.130879366666666,3.426,219.513,3.8,44.0,12.45,242.375,286.375,73.625,starboard
2025-07-26 13:15:01,53.306295666666664,-6.1308975,3.52,219.91,4.0,42.0,13.375,242.25,284.25,75.75,starboard
2025-07-26 13:15:02,53.30627931666666,-6.1309203,3.703,219.528,4.2,40.0,14.3,242.125,282.125,77.875,starboard
2025-07-26 13:15:03,53.306262966666665,-6.1309431,3.886,219.146,4.4,41.0,14.5,242.0,283.0,77.0,starboard
2025-07-26 13:15:04,53.30624661666666,-6.1309659,4.069,218.764,4.6,42.0,14.7,241.6,283.6,76.39999999999998,starboard
2025-07-26 13:15:05,53.30623026666667,-6.1309887,4.252,218.382,4.8,57.0,11.4,241.2,298.2,61.80000000000001,starboard
2025-07-26 13:15:06,53.306213916666664,-6.1310115,4.435,218.0,5.0,58.0,11.5,240.8,298.8,61.19999999999999,starboard
2025-07-26 13:15:07,53.30619756666666,-6.1310343,4.617999999999999,217.618,5.2,53.0,12.9,240.4,293.4,66.60000000000002,starboard
2025-07-26 13:15:08,53.306181216666666,-6.1310571,4.801,217.236,5.333333333333333,48.0,14.299999999999999,240.0,288.0,72.0,starboard
2025-07-26 13:15:09,53.30616486666666,-6.1310799,4.984,216.854,5.466666666666667,43.0,15.7,240.4,283.4,76.60000000000002,starboard
2025-07-26 13:15:10,53.30614851666667,-6.1311027,5.167,216.472,5.6,44.833333333333336,14.966666666666667,240.8,285.6333333333333,74.36666666666667,starboard
2025-07-26 13:15:11,53.306132166666664,-6.1311255,5.35,216.09,5.7,46.666666666666664,14.233333333333333,241.2,287.8666666666667,72.13333333333333,starboard
2025-07-26 13:15:12,53.3061179,-6.1311474,5.364,218.632,5.8,48.5,13.5,241.6,290.1,69.89999999999998,starboard
2025-07-26 13:15:13,53.30610363333333,-6.1311693,5.378,221.174,5.95,50.333333333333336,12.766666666666667,242.0,292.3333333333333,67.66666666666669,starboard
2025-07-26 13:15:14,53.30608936666667,-6.1311912,5.3919999999999995,223.716,6.1,52.166666666666664,12.033333333333333,242.8,294.9666666666667,65.0333333333333,starboard
2025-07-26 13:15:15,53.3060751,-6.1312131,5.406,226.258,6.1,54.0,11.3,243.6,297.6,62.39999999999998,starboard
2025-07-26 13:15:16,53.30606083333333,-6.131235,5.42,228.8,6.1,46.5,13.75,244.4,290.9,69.10000000000002,starboard
2025-07-26 13:15:17,53.3060452,-6.131267866666667,5.364,229.876,6.1,39.0,16.2,245.2,284.2,75.80000000000001,starboard
2025-07-26 13:15:18,53.306029566666666,-6.131300733333333,5.308,230.952,6.1,48.0,13.55,246.0,294.0,66.0,starboard
2025-07-26 13:15:19,53.30601393333333,-6.1313336000000005,5.252,232.02800000000002,6.1,57.0,10.9,245.5,302.5,57.5,starboard
2025-07-26 13:15:20,53.3059983,-6.131366466666667,5.196,233.104,6.1,56.0,10.98,245.0,301.0,59.0,starboard
2025-07-26 13:15:21,53.305982666666665,-6.131399333333333,5.14,234.18,6.02,55.0,11.06,244.5,299.5,60.5,starboard
2025-07-26 13:15:22,53.305958749999995,-6.1314451666666665,5.215,226.89000000000001,5.9399999999999995,54.0,11.14,244.0,298.0,62.0,starboard
2025-07-26 13:15:23,53.30593483333333,-6.131491,5.29,219.6,5.86,53.0,11.22,243.83333333333334,296.83333333333337,63.16666666666663,starboard
2025-07-26 13:15:24,53.305924222222224,-6.1315114444444445,5.193333333333333,226.12666666666667,5.78,52.0,11.3,243.66666666666666,295.66666666666663,64.33333333333337,starboard
2025-07-26 13:15:25,53.30591361111111,-6.131531888888889,5.096666666666667,232.65333333333334,5.7,51.0,11.542857142857143,243.5,294.5,65.5,starboard
2025-07-26 13:15:26,53.305903,-6.1315523333333335,5.0,239.18,5.82,50.0,11.785714285714286,243.33333333333334,293.33333333333337,66.66666666666663,starboard
2025-07-26 13:15:27,53.305879166666664,-6.131616833333333,4.76,237.22,5.94,49.0,12.028571428571428,243.16666666666666,292.16666666666663,67.83333333333337,starboard
2025-07-26 13:15:28,53.305866,-6.1316475,4.74,232.02,6.06,48.0,12.271428571428572,243.0,291.0,69.0,starboard
2025-07-26 13:15:29,53.3058515,-6.131676833333334,4.79,228.88,6.18,47.0,12.514285714285714,242.83333333333334,289.83333333333337,70.16666666666663,starboard
2025-07-26 13:15:30,53.305842500000004,-6.131696833333334,4.763333333333334,231.95666666666668,6.3,46.0,12.757142857142858,242.66666666666666,288.66666666666663,71.33333333333337,starboard
2025-07-26 13:15:31,53.3058335,-6.131716833333333,4.736666666666666,235.03333333333333,6.1,45.0,13.0,242.5,287.5,72.5,starboard
2025-07-26 13:15:32,53.3058245,-6.131736833333333,4.71,238.11,5.9,44.0,13.242857142857142,242.33333333333334,286.33333333333337,73.66666666666663,starboard
2025-07-26 13:15:33,53.30580608333334,-6.1317715,4.6625,234.60000000000002,5.7,43.0,13.485714285714286,242.16666666666666,285.16666666666663,74.83333333333337,starboard
2025-07-26 13:15:34,53.30578766666667,-6.131806166666666,4.614999999999999,231.09,5.7,42.0,13.728571428571428,242.0,284.0,76.0,starboard
2025-07-26 13:15:35,53.305769250000004,-6.131840833333333,4.5675,227.58,5.7,41.0,13.971428571428572,242.0,283.0,77.0,starboard
2025-07-26 13:15:36,53.305750833333335,-6.1318755,4.52,224.07,5.742857142857143,40.0,14.214285714285714,242.0,282.0,78.0,starboard
2025-07-26 13:15:37,53.30573444444445,-6.131902166666666,4.64,223.93666666666667,5.785714285714286,39.0,14.457142857142856,242.0,281.0,79.0,starboard
2025-07-26 13:15:38,53.30571805555555,-6.131928833333333,4.76,223.8033333333333,5.828571428571428,38.0,14.7,242.375,280.375,79.625,starboard
2025-07-26 13:15:39,53.305701666666664,-6.1319555,4.88,223.67,5.871428571428572,47.5,12.7,242.75,290.25,69.75,starboard
2025-07-26 13:15:40,53.305694833333334,-6.1319696666666665,4.8,229.885,5.914285714285715,57.0,10.7,243.125,300.125,59.875,starboard
2025-07-26 13:15:41,53.305688,-6.131983833333333,4.72,236.1,5.957142857142857,55.46153846153846,10.93076923076923,243.5,298.96153846153845,61.03846153846155,starboard
2025-07-26 13:15:42,53.30567105555556,-6.132022444444444,4.7,233.29333333333332,6.0,53.92307692307692,11.161538461538461,243.875,297.7980769230769,62.201923076923094,starboard
2025-07-26 13:15:43,53.30565411111111,-6.132061055555556,4.68,230.48666666666668,6.0,52.38461538461539,11.392307692307691,244.25,296.63461538461536,63.36538461538464,starboard
2025-07-26 13:15:44,53.30563716666666,-6.132099666666667,4.66,227.68,6.0,50.84615384615385,11.623076923076923,244.625,295.47115384615387,64.52884615384613,starboard
2025-07-26 13:15:45,53.30562475,-6.132127333333334,4.52,232.94,6.0,49.30769230769231,11.853846153846153,245.0,294.3076923076923,65.69230769230768,starboard
2025-07-26 13:15:46,53.305612333333336,-6.132155,4.38,238.2,6.0,47.76923076923077,12.084615384615384,243.2,290.96923076923076,69.03076923076924,starboard
2025-07-26 13:15:47,53.305596933333334,-6.132178466666667,4.4159999999999995,234.558,6.0,46.23076923076923,12.315384615384614,241.4,287.63076923076926,72.36923076923074,starboard
2025-07-26 13:15:48,53.30558153333333,-6.1322019333333335,4.452,230.916,5.8,44.69230769230769,12.546153846153846,239.6,284.2923076923077,75.7076923076923,starboard
